Team + Rank,Minutes Rank,Player,Class,Pos,School,Conf,G,MP,Totals FG,Totals FGA,Totals 2P,Totals 2PA,Totals 3P,Totals 3PA,Totals FT,Totals FTA,Totals ORB,Totals DRB,Totals TRB,Totals AST,Totals STL,Totals BLK,Totals TOV,Totals PF,Totals PTS
Abilene Christian1,1,Parker Wentz,SR,G,Abilene Christian,Southland,31,918,87,202,18,48,69,154,26,31,5,51,56,27,37,3,27,65,269
Abilene Christian2,2,Jaylen Franklin,FR,G,Abilene Christian,Southland,30,883,176,343,168,315,8,28,126,206,23,92,115,82,52,4,85,84,486
Abilene Christian3,3,Jalen Little,SR,G,Abilene Christian,Southland,26,737,48,125,26,63,22,62,41,49,9,68,77,116,33,2,50,67,159
Abilene Christian4,4,Jaren Lewis,FR,F,Abilene Christian,Southland,31,673,110,218,91,172,19,46,53,73,36,144,180,40,34,18,34,64,292
Abilene Christian5,5,Jovan Crnic,JR,G,Abilene Christian,Southland,31,640,71,192,38,96,33,96,44,55,8,71,79,78,23,3,67,66,219
Abilene Christian6,6,Duran Porter,SR,F,Abilene Christian,Southland,31,615,103,176,103,176,0,0,49,75,38,78,116,18,10,27,44,87,255
Abilene Christian7,7,Austin Cooke,SR,F,Abilene Christian,Southland,30,575,56,149,20,50,36,99,49,59,39,73,112,19,15,2,26,73,197
Abilene Christian8,8,Hayden Howell,FR,F,Abilene Christian,Southland,31,354,42,92,42,92,0,0,35,52,36,31,67,7,5,13,36,56,119
Abilene Christian9,9,Isaiah Tripp,SO,G,Abilene Christian,Southland,29,312,27,56,18,32,9,24,22,27,9,18,27,17,7,0,14,36,85
Abilene Christian10,10,Drake Green,SO,G,Abilene Christian,Southland,29,293,20,80,15,46,5,34,7,10,12,29,41,8,10,5,14,44,52
Abilene Christian11,11,Hayden Farquhar,FR,F,Abilene Christian,Southland,30,250,31,71,23,44,8,27,6,16,14,35,49,10,7,1,17,39,76
Air Force1,1,Hayden Graham,JR,F,Air Force,MWC,31,1112,168,346,133,255,35,91,57,87,49,143,192,69,34,10,63,86,428
Air Force2,2,Zach Kocur,JR,G,Air Force,MWC,32,967,103,265,46,107,57,158,43,60,17,154,171,64,37,0,65,74,306
Air Force3,3,C.J. Siples,SO,G,Air Force,MWC,32,708,71,137,51,95,20,42,45,69,9,84,93,69,29,8,42,69,207
Air Force4,4,Trevor Lyons,SO,G,Air Force,MWC,22,707,83,211,63,153,20,58,93,144,9,69,78,61,31,0,42,42,279
Air Force5,5,Zach Moer,SR,C,Air Force,MWC,29,575,91,198,81,164,10,34,58,77,31,84,115,30,11,24,51,85,250
Air Force6,6,Kyle Broekhuis,JR,F,Air Force,MWC,31,501,33,83,23,50,10,33,27,40,25,63,88,21,6,2,29,49,103
Air Force7,7,Dezmond James,SO,G,Air Force,MWC,32,396,30,95,24,62,6,33,20,34,8,36,44,25,9,1,21,30,86
Air Force8,8,Jacob Van,SO,G,Air Force,MWC,28,395,58,123,40,81,18,42,33,43,7,24,31,27,16,0,27,23,167
Air Force9,9,Frank Toohey,SO,C,Air Force,MWC,26,366,42,81,35,62,7,19,53,73,38,38,76,14,5,6,24,63,144
Air Force10,10,Joe Tuss,JR,F,Air Force,MWC,30,348,29,104,20,61,9,43,14,27,15,43,58,19,6,1,20,44,81
Air Force11,11,Pervis Louder,FR,G,Air Force,MWC,18,210,23,56,18,41,5,15,22,31,13,22,35,9,9,0,17,31,73
Air Force12,12,Ryan Manning,SO,F,Air Force,MWC,5,104,10,33,8,19,2,14,9,9,7,5,12,6,1,4,3,8,31
Air Force13,13,Dane Norman,FR,F,Air Force,MWC,15,45,6,12,5,8,1,4,3,6,3,8,11,1,0,2,1,3,16
Air Force14,14,Daniel Hummer,FR,G,Air Force,MWC,10,38,2,9,0,1,2,8,2,2,1,1,2,4,2,0,3,9,8
Air Force15,15,Jace Chacon,FR,G,Air Force,MWC,4,11,3,4,3,3,0,1,1,1,0,2,2,0,0,0,1,0,7
Akron1,1,Antino Jackson,SO,G,Akron,MAC,34,944,133,349,67,167,66,182,65,78,18,87,105,118,39,1,75,77,397
Akron2,2,Reggie McAdams,SR,F,Akron,MAC,34,894,121,278,26,53,95,225,51,71,31,99,130,28,23,9,25,65,388
Akron3,3,Noah Robotham,SO,G,Akron,MAC,28,889,89,211,34,77,55,134,42,56,12,64,76,107,33,3,41,50,275
Akron4,4,Isaiah Johnson,JR,C,Akron,MAC,34,851,169,291,168,286,1,5,121,196,89,165,254,56,16,44,52,81,460
Akron5,5,Jake Kretzer,SR,G,Akron,MAC,33,819,86,201,16,32,70,169,27,31,35,101,136,43,18,3,19,74,269
Akron6,6,Kwan Cheatham,JR,F,Akron,MAC,34,761,86,231,48,119,38,112,41,62,42,127,169,55,8,32,45,88,251
Akron7,7,Josh Williams,FR,G,Akron,MAC,33,619,72,177,14,41,58,136,20,26,16,67,83,44,14,4,48,42,222
Akron8,8,Pat Forsythe,SR,C,Akron,MAC,22,433,76,157,76,156,0,1,38,57,36,71,107,13,16,31,33,51,190
Akron9,9,Aaron Jackson,SO,G,Akron,MAC,28,279,26,65,15,29,11,36,19,27,15,18,33,11,6,3,10,40,82
Akron10,10,Jimond Ivey,SO,G,Akron,MAC,31,270,28,71,23,48,5,23,19,33,11,41,52,21,8,3,17,29,80
Akron11,11,Mark Noble,JR,G,Akron,MAC,5,14,1,3,1,2,0,1,0,0,0,1,1,0,1,0,2,2,2
Akron12,12,Carlitos Anderson,FR,G,Akron,MAC,5,13,1,1,0,0,1,1,0,0,0,3,3,1,1,0,0,0,3
Alabama1,1,Retin Obasohan,SR,G,Alabama,SEC,32,1036,190,400,143,275,47,125,140,203,19,104,123,83,44,10,80,84,567
Alabama2,2,Arthur Edwards,SR,G,Alabama,SEC,32,918,106,250,35,76,71,174,27,40,18,103,121,45,22,15,61,82,310
Alabama3,3,Riley Norris,SO,F,Alabama,SEC,32,897,76,203,32,86,44,117,47,72,52,121,173,23,26,8,38,61,243
Alabama4,4,Justin Coleman,SO,G,Alabama,SEC,32,840,67,228,31,90,36,138,71,80,7,56,63,108,23,0,62,45,241
Alabama5,5,Jimmie Taylor,JR,F,Alabama,SEC,32,678,67,116,67,116,0,0,36,97,52,99,151,13,15,58,40,84,170
Alabama6,6,Shannon Hale,JR,F,Alabama,SEC,27,664,93,248,52,124,41,124,65,87,22,56,78,14,12,7,56,62,292
Alabama7,7,Michael Kessens,JR,F,Alabama,SEC,32,537,47,83,46,79,1,4,25,46,49,65,114,18,14,13,29,75,120
Alabama8,8,Donta Hall,FR,F,Alabama,SEC,32,401,35,56,35,56,0,0,18,42,41,93,134,7,12,50,15,81,88
Alabama9,9,Brandon Austin,FR,G,Alabama,SEC,29,256,18,58,10,19,8,39,2,4,7,18,25,2,3,4,6,16,46
Alabama10,10,Dazon Ingram,FR,G,Alabama,SEC,7,179,20,37,19,35,1,2,13,22,6,35,41,23,8,3,24,23,54
Alabama11,11,Lawson Schaffer,FR,G,Alabama,SEC,14,31,2,10,0,1,2,9,2,4,2,0,2,2,1,0,1,3,8
Alabama A&M1,1,Ladarius Tabb,SR,G,Alabama A&M,SWAC,29,1000,201,457,156,304,45,153,102,160,58,143,201,21,41,8,50,73,549
Alabama A&M2,2,Nicholas West,SR,F,Alabama A&M,SWAC,29,878,132,286,114,222,18,64,123,170,73,154,227,43,17,27,71,95,405
Alabama A&M3,3,Rakiya Battle,JR,G,Alabama A&M,SWAC,29,756,50,155,33,95,17,60,66,84,16,54,70,153,25,2,59,40,183
Alabama A&M4,4,Arthur Wade,SR,G,Alabama A&M,SWAC,29,625,37,103,19,41,18,62,22,32,22,33,55,29,25,8,20,82,114
Alabama A&M5,5,Christopher Thomas,JR,G,Alabama A&M,SWAC,28,480,49,113,35,59,14,54,14,23,25,45,70,14,5,2,13,37,126
Alabama A&M6,6,Jacob Perry,SR,G,Alabama A&M,SWAC,27,431,50,127,31,59,19,68,54,77,8,21,29,43,8,0,35,52,173
Alabama A&M7,7,Adrian Edwards,JR,F,Alabama A&M,SWAC,29,362,32,92,32,89,0,3,11,17,31,43,74,12,9,3,14,55,75
Alabama A&M8,8,Quinterian McConico,JR,C,Alabama A&M,SWAC,18,325,53,83,52,82,1,1,15,21,16,50,66,5,3,8,14,37,122
Alabama A&M9,9,Tyler Davis,SR,G,Alabama A&M,SWAC,21,275,16,50,5,8,11,42,4,7,9,9,18,7,10,0,7,19,47
Alabama A&M10,10,Rashawn Green,FR,G,Alabama A&M,SWAC,19,248,30,72,8,15,22,57,3,6,3,15,18,9,5,0,9,26,85
Alabama A&M11,11,Matthew Cotton,SR,G,Alabama A&M,SWAC,26,186,12,33,7,17,5,16,15,20,8,14,22,20,4,0,15,11,44
Alabama A&M12,12,Zachary Jackson,FR,G,Alabama A&M,SWAC,22,158,13,37,11,26,2,11,5,13,9,10,19,5,7,2,6,18,33
Alabama A&M13,13,Baryn Houston,SR,G,Alabama A&M,SWAC,14,78,4,14,1,6,3,8,0,1,1,9,10,4,3,0,3,8,11
Alabama A&M14,14,Mohamed Sherif,FR,F,Alabama A&M,SWAC,13,72,2,10,2,10,0,0,5,11,3,10,13,1,1,1,9,8,9
Alabama State1,1,Jamel Waters,SR,G,Alabama State,SWAC,31,1057,160,390,84,206,76,184,98,134,32,102,134,134,54,2,81,65,494
Alabama State2,2,Torloft Thomas,JR,G,Alabama State,SWAC,31,838,70,187,33,82,37,105,72,96,20,56,76,58,21,3,64,69,249
Alabama State3,3,Bobby Brown,SR,G,Alabama State,SWAC,31,792,105,298,74,181,31,117,32,47,48,131,179,18,18,14,42,54,273
Alabama State4,4,Steve Rogers,SO,G,Alabama State,SWAC,31,749,65,208,35,96,30,112,43,57,19,35,54,33,19,5,28,65,203
Alabama State5,5,Corvon Butler,JR,F,Alabama State,SWAC,31,693,128,230,127,222,1,8,42,62,70,116,186,29,20,19,33,94,299
Alabama State6,6,Terrance LeFlore,SO,G,Alabama State,SWAC,31,597,65,194,36,117,29,77,42,58,14,42,56,57,19,3,45,61,201
Alabama State7,7,Tony Armstrong,JR,F,Alabama State,SWAC,21,561,97,202,97,202,0,0,59,93,36,89,125,16,12,23,24,74,253
Alabama State8,8,Chidozie Omile,SR,G,Alabama State,SWAC,25,305,28,89,21,58,7,31,11,22,15,36,51,13,9,6,19,40,74
Alabama State9,9,Glenn Hollaway,SO,F,Alabama State,SWAC,25,297,25,39,25,38,0,1,5,11,26,35,61,8,3,20,5,41,55
Alabama State10,10,Mikel Tyson,FR,F,Alabama State,SWAC,25,258,34,54,34,54,0,0,19,32,30,44,74,4,4,11,18,49,87
Alabama State11,11,Robert Ojeah,SR,C,Alabama State,SWAC,13,81,6,12,6,12,0,0,3,9,9,13,22,1,0,1,4,22,15
Alabama State12,12,Nicholas Barnes,JR,G,Alabama State,SWAC,8,57,4,13,0,2,4,11,0,2,2,0,2,0,1,0,3,6,12
Alabama State13,13,Joseff Smith,FR,G,Alabama State,SWAC,8,9,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,3,2
Alabama-Birmingham1,1,Robert Brown,SR,G,Alabama-Birmingham,CUSA,32,968,152,356,90,196,62,160,68,90,10,76,86,100,29,9,54,55,434
Alabama-Birmingham2,2,Nick Norton,SO,G,Alabama-Birmingham,CUSA,31,848,86,205,29,51,57,154,49,57,9,75,84,159,52,1,51,52,278
Alabama-Birmingham3,3,William Lee,SO,F,Alabama-Birmingham,CUSA,32,796,134,271,103,181,31,90,42,65,54,147,201,49,23,92,51,52,341
Alabama-Birmingham4,4,Hakeem Baxter,JR,G,Alabama-Birmingham,CUSA,32,783,61,155,52,123,9,32,60,82,20,74,94,66,16,9,47,55,191
Alabama-Birmingham5,5,Chris Cokley,SO,F,Alabama-Birmingham,CUSA,32,706,171,298,171,298,0,0,78,109,74,132,206,45,26,21,33,89,420
Alabama-Birmingham6,6,Tosin Mehinti,JR,F,Alabama-Birmingham,CUSA,31,634,72,129,72,129,0,0,40,76,58,89,147,35,15,31,46,89,184
Alabama-Birmingham7,7,Dirk Williams,JR,G,Alabama-Birmingham,CUSA,32,606,105,216,60,98,45,118,43,47,36,89,125,43,14,16,35,47,298
Alabama-Birmingham8,8,Denzell Watts,JR,G,Alabama-Birmingham,CUSA,32,483,44,109,19,43,25,66,18,25,2,49,51,55,16,1,37,36,131
Alabama-Birmingham9,9,Lewis Sullivan,SO,F,Alabama-Birmingham,CUSA,32,388,56,91,55,87,1,4,39,59,27,52,79,22,11,10,22,48,152
Alabama-Birmingham10,10,Tyler Madison,JR,G,Alabama-Birmingham,CUSA,31,221,20,54,19,50,1,4,13,19,18,15,33,14,5,3,16,33,54
Alabama-Birmingham11,11,Thomas Smallwood,FR,F,Alabama-Birmingham,CUSA,9,46,14,24,8,12,6,12,5,6,4,15,19,2,0,3,0,9,39
Alabama-Birmingham12,12,Lionel Love,SO,G,Alabama-Birmingham,CUSA,9,21,1,2,0,0,1,2,2,2,0,3,3,0,0,0,0,1,5
Albany (NY)1,1,Evan Singletary,SR,G,Albany (NY),AEC,32,1057,133,327,85,189,48,138,94,127,15,98,113,96,39,7,70,74,408
Albany (NY)2,2,Peter Hooley,SR,G,Albany (NY),AEC,32,1049,127,335,89,176,38,159,111,146,18,127,145,88,31,4,72,32,403
Albany (NY)3,3,Mike Rowley,JR,F,Albany (NY),AEC,32,918,96,167,96,166,0,1,66,91,83,122,205,34,33,11,53,89,258
Albany (NY)4,4,Ray Sanders,SR,G,Albany (NY),AEC,32,872,129,289,90,184,39,105,87,113,32,104,136,76,51,3,55,88,384
Albany (NY)5,5,Greig Stire,SO,F,Albany (NY),AEC,31,716,88,157,88,157,0,0,62,97,88,98,186,23,14,4,32,97,238
Albany (NY)6,6,Joe Cremo,FR,G,Albany (NY),AEC,32,665,103,199,85,156,18,43,110,128,30,89,119,45,22,6,43,40,334
Albany (NY)7,7,Dallas Ennema,JR,F,Albany (NY),AEC,31,456,48,121,23,47,25,74,16,23,16,61,77,13,9,6,14,45,137
Albany (NY)8,8,Richard Peters,JR,C,Albany (NY),AEC,30,360,36,62,36,62,0,0,13,22,34,59,93,7,5,8,26,48,85
Albany (NY)9,9,Jamir Andrews,JR,G,Albany (NY),AEC,23,160,19,56,9,21,10,35,23,25,2,15,17,8,7,0,13,19,71
Albany (NY)10,10,Travis Charles,JR,F,Albany (NY),AEC,9,127,21,36,21,36,0,0,9,16,8,15,23,2,1,2,6,20,51
Albany (NY)11,11,David Nichols,FR,G,Albany (NY),AEC,14,71,12,21,10,15,2,6,10,15,0,7,7,7,0,1,8,8,36
Alcorn State1,1,Tamarcio Wilson,SR,G,Alcorn State,SWAC,29,903,121,299,83,170,38,129,75,104,12,77,89,51,19,2,81,42,355
Alcorn State2,2,Marquis Vance,JR,F,Alcorn State,SWAC,30,892,75,222,46,132,29,90,59,98,44,118,162,56,13,17,60,58,238
Alcorn State3,3,Devonte Hampton,SR,G,Alcorn State,SWAC,27,800,80,223,43,106,37,117,36,53,15,85,100,63,28,6,59,79,233
Alcorn State4,4,Patrick Onwenu,SR,F,Alcorn State,SWAC,29,727,70,146,70,138,0,8,95,130,48,68,116,24,10,30,52,80,235
Alcorn State5,5,Octavius Brown,SR,F,Alcorn State,SWAC,21,651,99,207,71,136,28,71,47,62,36,111,147,19,16,28,38,50,273
Alcorn State6,6,Deandre Davis,JR,F,Alcorn State,SWAC,30,553,90,154,84,139,6,15,36,59,76,58,134,8,14,21,32,90,222
Alcorn State7,7,Reginald Johnson,SO,F,Alcorn State,SWAC,30,516,82,184,69,144,13,40,27,41,39,44,83,14,6,3,25,32,204
Alcorn State8,8,Tyrel Hunt,SR,F,Alcorn State,SWAC,29,425,29,77,25,65,4,12,43,61,19,35,54,16,10,2,25,36,105
Alcorn State9,9,Rahamanh Katumbusi II,FR,G,Alcorn State,SWAC,27,258,19,69,8,35,11,34,18,25,1,12,13,4,10,0,18,20,67
Alcorn State10,10,Malachy Onwudiegwu,JR,G,Alcorn State,SWAC,25,234,13,57,7,28,6,29,11,23,9,9,18,5,3,1,18,25,43
Alcorn State11,11,Shawn Willett,FR,G,Alcorn State,SWAC,18,104,6,31,5,19,1,12,6,12,10,4,14,7,4,0,10,18,19
Alcorn State12,12,Juwan Henderson,SO,G,Alcorn State,SWAC,5,49,3,13,2,5,1,8,2,4,1,7,8,4,1,0,5,10,9
Alcorn State13,13,TyQuayion Smith,FR,F,Alcorn State,SWAC,13,40,4,8,4,8,0,0,3,4,1,0,1,1,0,1,1,8,11
American1,1,Jesse Reed,SR,G,American,Patriot,31,1173,137,309,83,173,54,136,73,99,20,121,141,65,29,18,75,77,401
American2,2,Delante Jones,FR,F,American,Patriot,30,997,116,272,77,166,39,106,90,129,26,81,107,53,22,6,79,82,361
American3,3,Marko Vasic,SR,F,American,Patriot,31,787,50,120,43,91,7,29,21,29,27,110,137,68,27,6,36,68,128
American4,4,James Washington,FR,G,American,Patriot,31,784,73,210,43,104,30,106,22,34,6,46,52,33,23,2,49,65,198
American5,5,Charlie Jones,JR,F,American,Patriot,31,673,49,96,34,63,15,33,34,48,13,90,103,38,34,16,30,50,147
American6,6,Paris Maragkos,JR,C,American,Patriot,31,463,90,180,81,163,9,17,30,43,19,51,70,28,12,5,54,67,219
American7,7,Andrija Matic,FR,F,American,Patriot,30,438,42,96,33,66,9,30,23,36,27,37,64,26,4,9,45,59,116
American8,8,Jalen Rhea,JR,G,American,Patriot,22,366,29,86,7,21,22,65,14,21,14,13,27,9,11,0,9,35,94
American9,9,Lonnie Rivera,FR,F,American,Patriot,22,227,16,42,15,34,1,8,14,18,10,26,36,10,3,1,19,20,47
American10,10,Leon Tolksdorf,JR,F,American,Patriot,22,221,16,50,8,15,8,35,3,7,12,24,36,14,9,5,3,24,43
American11,11,Alex Paquin,SO,G,American,Patriot,14,107,10,22,9,15,1,7,4,6,0,10,10,2,2,0,5,16,25
American12,12,Gabe Brown,SO,C,American,Patriot,3,17,3,4,3,4,0,0,0,1,1,0,1,2,0,1,4,3,6
Appalachian State1,1,Frank Eaves,SR,G,Appalachian State,Sun Belt,31,965,170,446,87,230,83,216,156,191,20,96,116,68,26,1,70,71,579
Appalachian State2,2,Ronshad Shabazz,FR,G,Appalachian State,Sun Belt,31,786,127,320,83,200,44,120,72,107,32,80,112,47,20,2,65,48,370
Appalachian State3,3,Chris Burgess,SR,G,Appalachian State,Sun Belt,31,653,70,170,25,52,45,118,30,37,10,26,36,68,14,0,27,60,215
Appalachian State4,4,Griffin Kinney,SO,F,Appalachian State,Sun Belt,31,581,72,152,72,150,0,2,50,75,43,102,145,26,14,2,53,82,194
Appalachian State5,5,Emarius Logan,FR,G,Appalachian State,Sun Belt,31,578,58,159,35,93,23,66,38,48,18,42,60,38,7,2,56,33,177
Appalachian State6,6,Tyrell Johnson,FR,F,Appalachian State,Sun Belt,30,520,45,114,42,100,3,14,24,45,41,82,123,8,14,21,40,66,117
Appalachian State7,7,Michael Obacha,SR,F,Appalachian State,Sun Belt,30,508,31,54,31,54,0,0,38,70,55,55,110,11,8,11,29,80,100
Appalachian State8,8,Jacob Lawson,SR,F,Appalachian State,Sun Belt,31,479,61,115,61,115,0,0,42,56,36,75,111,20,13,54,31,93,164
Appalachian State9,9,Matt O'Boyle,JR,G,Appalachian State,Sun Belt,31,371,30,95,9,20,21,75,12,25,22,47,69,13,3,3,16,41,93
Appalachian State10,10,Jake Babic,SO,G,Appalachian State,Sun Belt,31,359,19,75,4,28,15,47,10,17,10,34,44,44,5,3,30,38,63
Appalachian State11,11,Bennett Holley,FR,F,Appalachian State,Sun Belt,25,232,23,54,6,11,17,43,11,14,9,19,28,7,0,2,9,34,74
Appalachian State12,12,Dustin Clarke,SR,G,Appalachian State,Sun Belt,18,98,8,27,5,11,3,16,4,4,5,14,19,6,3,1,6,5,23
Appalachian State13,13,Mike Kobani,JR,F,Appalachian State,Sun Belt,6,26,1,3,1,3,0,0,0,0,5,3,8,0,0,0,4,8,2
Appalachian State14,14,Landon Goesling,SO,G,Appalachian State,Sun Belt,3,20,2,5,2,4,0,1,3,6,0,3,3,0,0,0,2,2,7
Appalachian State15,15,Dylan Hodson,SO,G,Appalachian State,Sun Belt,4,7,1,4,0,3,1,1,0,0,1,3,4,0,0,0,0,0,3
Appalachian State16,16,Trey Ford,FR,G,Appalachian State,Sun Belt,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,3
Arizona1,1,Gabe York,SR,G,Arizona,Pac-12,33,1099,174,410,78,184,96,226,57,76,19,89,108,76,30,9,69,66,501
Arizona2,2,Ryan Anderson,SR,F,Arizona,Pac-12,32,932,170,311,168,304,2,7,155,208,99,224,323,25,22,20,61,68,497
Arizona3,3,Kadeem Allen,JR,G,Arizona,Pac-12,33,817,96,208,79,159,17,49,65,92,8,92,100,119,34,27,61,78,274
Arizona4,4,Mark Tollefsen,SR,F,Arizona,Pac-12,33,737,90,173,64,101,26,72,31,38,42,60,102,44,13,20,18,64,237
Arizona5,5,Allonzo Trier,FR,G,Arizona,Pac-12,26,730,118,250,80,146,38,104,115,145,11,76,87,29,14,6,48,48,389
Arizona6,6,Parker Jackson-Cartwright,SO,G,Arizona,Pac-12,33,702,55,137,29,68,26,69,36,55,9,45,54,115,21,7,48,71,172
Arizona7,7,Kaleb Tarczewski,SR,C,Arizona,Pac-12,25,677,78,147,78,147,0,0,80,111,63,169,232,15,7,33,32,73,236
Arizona8,8,Dusan Ristic,SO,C,Arizona,Pac-12,33,552,93,170,90,162,3,8,52,82,47,80,127,27,5,23,41,65,241
Arizona9,9,Justin Simon,FR,G,Arizona,Pac-12,24,180,23,46,22,43,1,3,9,21,7,22,29,8,7,6,14,22,56
Arizona10,10,Elliott Pitts,JR,G,Arizona,Pac-12,7,149,7,26,5,10,2,16,0,2,8,8,16,13,8,0,11,21,16
Arizona11,11,Chance Comanche,FR,C,Arizona,Pac-12,22,133,16,32,16,32,0,0,11,16,12,23,35,5,1,7,8,17,43
Arizona12,12,Jacob Hazzard,SR,G,Arizona,Pac-12,7,26,6,10,2,4,4,6,2,2,0,1,1,2,0,0,1,4,18
Arizona State1,1,Tra Holder,SO,G,Arizona State,Pac-12,32,1017,140,362,91,228,49,134,125,172,22,90,112,117,33,2,84,66,454
Arizona State2,2,Gerry Blakes,SR,G,Arizona State,Pac-12,32,962,128,332,81,181,47,151,50,69,34,136,170,76,34,5,66,94,353
Arizona State3,3,Willie Atwood,SR,F,Arizona State,Pac-12,32,866,78,196,46,94,32,102,80,102,50,89,139,44,15,9,30,97,268
Arizona State4,4,Kodi Justice,SO,G,Arizona State,Pac-12,32,792,84,213,24,63,60,150,25,33,12,57,69,76,30,5,53,78,253
Arizona State5,5,Obinna Oleka,JR,F,Arizona State,Pac-12,32,792,104,263,77,177,27,86,73,94,63,132,195,22,22,17,43,67,308
Arizona State6,6,Eric Jacobsen,SR,F,Arizona State,Pac-12,32,722,91,158,90,156,1,2,62,97,72,91,163,16,6,31,29,101,245
Arizona State7,7,Savon Goodman,JR,F,Arizona State,Pac-12,28,588,105,191,105,187,0,4,58,126,61,119,180,15,16,15,40,87,268
Arizona State8,8,Andre Spight,JR,G,Arizona State,Pac-12,27,526,60,177,24,63,36,114,23,29,7,17,24,34,13,0,20,42,179
Arizona State9,9,Maurice O'Field,SO,G,Arizona State,Pac-12,23,148,5,21,4,12,1,9,1,2,5,13,18,4,1,1,7,14,12
Arizona State10,10,Austin Witherill,SO,G,Arizona State,Pac-12,13,18,1,6,0,1,1,5,2,2,0,0,0,0,0,0,1,0,5
Arkansas1,1,Moses Kingsley,SO,F,Arkansas,SEC,32,945,183,334,183,334,0,0,142,223,103,196,299,39,36,76,65,94,508
Arkansas2,2,Anthlon Bell,SR,G,Arkansas,SEC,32,917,172,402,83,200,89,202,69,82,22,71,93,39,20,7,35,70,502
Arkansas3,3,Jabril Durham,SR,G,Arkansas,SEC,32,891,59,168,40,101,19,67,61,77,15,96,111,204,53,2,58,70,198
Arkansas4,4,Dusty Hannahs,JR,G,Arkansas,SEC,32,866,174,380,93,193,81,187,100,115,19,58,77,29,20,0,41,68,529
Arkansas5,5,Manuale Watkins,JR,G,Arkansas,SEC,32,629,69,145,69,144,0,1,25,46,29,67,96,66,25,3,24,55,163
Arkansas6,6,Jimmy Whitt,FR,G,Arkansas,SEC,32,550,75,194,69,178,6,16,38,48,11,42,53,34,20,6,31,66,194
Arkansas7,7,Trey Thompson,SO,F,Arkansas,SEC,29,503,37,61,37,61,0,0,16,31,28,96,124,36,13,27,32,88,90
Arkansas8,8,Anton Beard,SO,G,Arkansas,SEC,23,481,57,164,38,98,19,66,27,42,13,40,53,40,23,2,17,53,160
Arkansas9,9,Keaton Miles,SR,F,Arkansas,SEC,32,480,35,103,34,99,1,4,21,48,35,56,91,29,20,23,34,82,92
Arkansas10,10,Willy Kouassi,SR,C,Arkansas,SEC,31,255,21,36,21,36,0,0,20,36,25,35,60,1,3,19,10,41,62
Arkansas11,11,Lorenzo Jenkins,FR,G,Arkansas,SEC,1,7,1,4,0,3,1,1,0,0,0,2,2,1,0,0,0,0,3
Arkansas State1,1,Devin Carter,JR,G,Arkansas State,Sun Belt,31,1110,183,400,95,189,88,211,82,117,30,105,135,60,22,10,56,86,536
Arkansas State2,2,Sean Gardner,SR,G,Arkansas State,Sun Belt,30,972,106,305,68,175,38,130,61,73,42,65,107,51,27,7,52,66,311
Arkansas State3,3,Anthony Livingston,JR,F,Arkansas State,Sun Belt,31,961,168,390,146,306,22,84,122,142,80,210,290,15,19,25,54,90,480
Arkansas State4,4,Donte Thomas,JR,G,Arkansas State,Sun Belt,26,828,88,192,83,168,5,24,110,164,22,129,151,146,31,7,76,71,291
Arkansas State5,5,Frederic Dure,SR,G,Arkansas State,Sun Belt,30,693,45,139,30,78,15,61,65,97,10,85,95,57,17,19,52,68,170
Arkansas State6,6,Nouhoum Bocoum,SR,C,Arkansas State,Sun Belt,29,431,76,158,76,156,0,2,53,76,45,74,119,11,2,20,29,40,205
Arkansas State7,7,Charles Waters,SR,F,Arkansas State,Sun Belt,31,424,51,128,51,127,0,1,29,40,35,80,115,11,17,33,26,85,131
Arkansas State8,8,Josh Pierre,SR,G,Arkansas State,Sun Belt,24,286,5,36,0,5,5,31,7,10,5,24,29,4,5,1,4,17,22
Arkansas State9,9,Christian Davis,FR,F,Arkansas State,Sun Belt,28,234,12,46,12,43,0,3,18,28,8,30,38,1,4,6,19,47,42
Arkansas State10,10,P.J. Hardwick,JR,G,Arkansas State,Sun Belt,7,142,4,18,3,15,1,3,8,12,3,14,17,19,7,0,10,12,17
Arkansas State11,11,Kelvin Downs,SR,F,Arkansas State,Sun Belt,10,134,22,35,22,35,0,0,7,7,6,21,27,4,3,8,11,18,51
Arkansas State12,12,Connor Kern,FR,G,Arkansas State,Sun Belt,8,87,10,26,4,6,6,20,0,0,1,5,6,2,3,0,4,13,26
Arkansas-Little Rock1,1,Josh Hagins,SR,G,Arkansas-Little Rock,Sun Belt,33,998,149,330,97,192,52,138,74,88,25,109,134,155,46,6,58,72,424
Arkansas-Little Rock2,2,Marcus Johnson Jr.,JR,G,Arkansas-Little Rock,Sun Belt,33,992,134,281,63,127,71,154,80,99,19,79,98,54,24,0,46,36,419
Arkansas-Little Rock3,3,Lis Shoshi,JR,F,Arkansas-Little Rock,Sun Belt,33,743,93,191,82,160,11,31,29,47,54,122,176,27,7,38,28,91,226
Arkansas-Little Rock4,4,Roger Woods,SR,F,Arkansas-Little Rock,Sun Belt,33,725,115,207,105,179,10,28,84,131,39,97,136,53,31,8,47,68,324
Arkansas-Little Rock5,5,Jermaine Ruttley,SR,G,Arkansas-Little Rock,Sun Belt,33,624,40,107,33,73,7,34,26,33,17,85,102,54,19,1,24,62,113
